"","Bias.Coef..mean.","Bias.Coef..sd.","Width..mean.","Width..sd.","MSE..mean.","MSE..sd.","Coverage","it..mean.","it..sd.","miss","actual_missing..mean.","actual_missing..sd.","dist","mp","m","k","tail","hmi","pmass","std","method"
"433",-0.573449201139613,2.30465028257943,0.119401612560056,0.00279761677184219,2.65025992473211,0.0757147269971673,0.988,5,0,0.1,0.133796666666667,0.00597373789552609,"pois","MAR",5,10,"left","False",0.25,0.0304601547533221,"pmm"
"434",-0.448383927531598,2.17931425444248,0.119232573822832,0.00204184335401538,2.65426715632236,0.077106143410566,0.996,10,0,0.1,0.133410666666667,0.00570195069934648,"pois","MAR",10,10,"left","False",0.25,0.0304170318340855,"pmm"
"435",-0.378596709863148,2.24249665398353,0.119162621470433,0.00192651158577709,2.65515570622335,0.0807316144429706,0.992,25,0,0.1,0.133763333333333,0.00581570574679749,"pois","MAR",25,10,"left","False",0.25,0.0303991865183169,"pmm"
"436",-0.605800298625676,2.25468084779596,0.11904215001189,0.00191296153847634,2.64912112971857,0.0801055961587916,0.996,40,0,0.1,0.133705333333333,0.00569544207629614,"pois","MAR",40,10,"left","False",0.25,0.0303684534386546,"pmm"
"437",-0.282093103280975,2.16870827828543,0.119165609645073,0.00196564564647435,2.65227258918075,0.0765485564626716,0.994,10.58,2.11839561933082,0.1,0.134316,0.00593285855778365,"pois","MAR",10,1,"left","True",0.25,0.0303999488217734,"pmm"
"438",-0.544546454876533,2.15512591762805,0.119311668457207,0.00204968166371427,2.66025651966535,0.0777151399085718,0.988,10.524,1.96606815751642,0.1,0.133964666666667,0.00589608876007364,"pois","MAR",10,3,"left","True",0.25,0.0304372094074998,"pmm"
"439",-0.193960136592775,2.23211878656097,0.119235820331479,0.0020379894234045,2.65815959380932,0.0770096621729045,1,10.484,2.09993904673445,0.1,0.133697333333333,0.00600288389951956,"pois","MAR",10,5,"left","True",0.25,0.0304178600402851,"pmm"
"440",-0.421237993459331,2.24261900611535,0.119284503126913,0.00206671696679206,2.6589510399527,0.0780718920547209,0.992,10.508,1.67150710438215,0.1,0.133664666666667,0.00613338735483456,"pois","MAR",10,10,"left","True",0.25,0.0304302793489613,"pmm"
"441",-0.796601855336203,2.63666363590354,0.120658809044903,0.00718988649306337,2.36621329704353,0.073502136868473,0.97,5,0,0.2,0.238974,0.00696042715802861,"pois","MAR",5,1,"left","False",0.25,0.0307808740356059,"pmm"
"442",-0.862560697465821,2.69537309447337,0.11962480180754,0.00468818106163166,2.36857208379442,0.0769624349458272,0.948,10,0,0.2,0.238369333333333,0.00738737914734764,"pois","MAR",10,1,"left","False",0.25,0.0305170918320756,"pmm"
